(1, 'Running', 'Running1', 1285, 13.22, '01:44:56', '2021-02-16 10:00:00', 'Polar Watch'),
(2, 'Hiking', 'Hiking245', 3339, 31.7, '07:34:24', '2021-04-26 13:00:00', 'AppleWatch'),
(12, 'Cycling', 'Cycling246', 5249, 193.93, '05:57:04', '2021-05-25 13:00:00', 'Polar Watch'),
(8, 'Running', 'Running247', 2329, 41.6, '03:10:12', '2021-04-11 15:00:00', 'Asics Shoes'),
(6, 'Hiking', 'Hiking248', 445, 4.32, '01:00:34', '2021-04-15 14:00:00', 'Polar Watch'),
(10, 'Cycling', 'Cycling249', 6890, 197.43, '07:48:45', '2021-04-20 14:00:00', 'AppleWatch'),
(15, 'Hiking', 'Hiking250', 5858, 42.2, '13:17:07', '2021-02-12 12:00:00', 'Polar Watch'),
(10, 'Running', 'Running251', 322, 3.37, '00:26:20', '2021-03-07 12:00:00', 'Polar Watch'),
(6, 'Hiking', 'Hiking252', 8046, 71.24, '18:14:44', '2021-04-19 10:00:00', 'Asics Shoes'),
(12, 'Running', 'Running253', 842, 12.07, '01:08:46', '2021-04-01 14:00:00', 'AppleWatch'),
(2, 'Cycling', 'Cycling254', 7321, 191.12, '08:18:04', '2021-01-06 13:00:00', 'NULL'),
(15, 'Running', 'Running255', 3334, 35.62, '04:32:12', '2021-04-03 13:00:00', 'AppleWatch'),
(12, 'Cycling', 'Cycling256', 5690, 159.02, '06:27:04', '2021-02-26 10:00:00', 'Nike Shoes'),
(9, 'Hiking', 'Hiking257', 539, 4.65, '01:13:23', '2021-04-13 14:00:00', 'AppleWatch'),
(2, 'Cycling', 'Cycling258', 1539, 49.39, '01:44:42', '2021-03-23 10:00:00', 'NULL'),
(15, 'Running', 'Running259', 1863, 24.18, '02:32:05', '2021-03-07 15:00:00', 'Asics Shoes'),
(2, 'Cycling', 'Cycling260', 967, 24.89, '01:05:48', '2021-01-10 10:00:00', 'NULL'),
(2, 'Running', 'Running261', 1800, 24.43, '02:26:57', '2021-02-24 12:00:00', 'Polar Watch'),
(15, 'Running', 'Running262', 1399, 23.96, '01:54:13', '2021-05-24 15:00:00', 'Nike Shoes'),
(4, 'Running', 'Running263', 3254, 41.35, '04:25:39', '2021-01-06 13:00:00', 'Polar Watch'),
(9, 'Running', 'Running264', 2684, 45.13, '03:39:06', '2021-01-15 11:00:00', 'Asics Shoes'),
(15, 'Cycling', 'Cycling265', 8589, 187.66, '09:44:18', '2021-03-03 11:00:00', 'Nike Shoes'),
(2, 'Running', 'Running266', 2697, 54.94, '03:40:14', '2021-01-02 13:00:00', 'Polar Watch'),
(6, 'Running', 'Running267', 4839, 52.91, '06:35:03', '2021-04-02 13:00:00', 'Polar Watch'),
(3, 'Hiking', 'Hiking268', 10399, 83.88, '23:34:53', '2021-03-11 13:00:00', 'Nike Shoes'),
(14, 'Hiking', 'Hiking269', 2415, 17.82, '05:28:34', '2021-02-03 14:00:00', 'Nike Shoes'),
(1, 'Cycling', 'Cycling270', 3918, 104.09, '04:26:33', '2021-03-22 13:00:00', 'Polar Watch'),
(6, 'Hiking', 'Hiking271', 7597, 83.59, '17:13:43', '2021-05-21 13:00:00', 'NULL'),
(10, 'Running', 'Running272', 2720, 38.52, '03:42:07', '2021-02-14 15:00:00', 'NULL'),
(12, 'Cycling', 'Cycling273', 5645, 106.05, '06:24:02', '2021-05-04 12:00:00', 'Asics Shoes'),
(15, 'Running', 'Running274', 3501, 57.75, '04:45:52', '2021-01-28 11:00:00', 'NULL'),
(5, 'Hiking', 'Hiking275', 3544, 36.38, '08:02:12', '2021-01-13 10:00:00', 'NULL'),
(1, 'Running', 'Running276', 4375, 43.52, '05:57:09', '2021-03-16 14:00:00', 'Asics Shoes'),
(4, 'Cycling', 'Cycling277', 3134, 67.79, '03:33:15', '2021-04-15 13:00:00', 'AppleWatch'),
(3, 'Cycling', 'Cycling278', 3742, 89.37, '04:14:35', '2021-01-17 15:00:00', 'Polar Watch'),
(11, 'Running', 'Running279', 4379, 40.29, '05:57:31', '2021-01-24 10:00:00', 'Polar Watch'),
(7, 'Hiking', 'Hiking280', 9047, 87.63, '20:30:54', '2021-03-14 10:00:00', 'Asics Shoes'),
(7, 'Hiking', 'Hiking281', 9025, 78.57, '20:27:59', '2021-02-28 15:00:00', 'AppleWatch'),
(9, 'Running', 'Running282', 3929, 57.25, '05:20:45', '2021-01-07 12:00:00', 'NULL'),
(9, 'Running', 'Running283', 3908, 49.49, '05:19:03', '2021-02-18 10:00:00', 'Asics Shoes'),
(14, 'Running', 'Running284', 3643, 55.84, '04:57:24', '2021-03-27 12:00:00', 'Nike Shoes'),
(15, 'Cycling', 'Cycling285', 5210, 122.98, '05:54:26', '2021-01-24 13:00:00', 'NULL'),
(14, 'Running', 'Running286', 2136, 36.78, '02:54:25', '2021-03-21 11:00:00', 'Polar Watch'),
(12, 'Hiking', 'Hiking287', 1202, 11.22, '02:43:39', '2021-04-10 13:00:00', 'Nike Shoes'),
(4, 'Hiking', 'Hiking288', 10551, 107.28, '23:55:35', '2021-03-12 11:00:00', 'AppleWatch'),
(6, 'Hiking', 'Hiking289', 8346, 59.81, '18:55:35', '2021-05-12 10:00:00', 'Asics Shoes'),
(8, 'Hiking', 'Hiking290', 2409, 17.52, '05:27:51', '2021-02-26 15:00:00', 'Polar Watch'),
(5, 'Cycling', 'Cycling291', 3891, 99.97, '04:24:44', '2021-01-24 11:00:00', 'Polar Watch'),
(1, 'Running', 'Running292', 4097, 45.18, '05:34:29', '2021-03-01 11:00:00', 'Nike Shoes'),
(2, 'Cycling', 'Cycling293', 3157, 101.91, '03:34:48', '2021-02-19 10:00:00', 'NULL'),
(8, 'Hiking', 'Hiking294', 2641, 20.3, '05:59:23', '2021-05-20 12:00:00', 'Nike Shoes'),
(9, 'Cycling', 'Cycling295', 4445, 115.4, '05:02:26', '2021-02-06 13:00:00', 'Nike Shoes'),
(10, 'Running', 'Running296', 644, 11.63, '00:52:36', '2021-05-07 10:00:00', 'NULL'),
(1, 'Running', 'Running297', 2154, 25.23, '02:55:53', '2021-02-04 10:00:00', 'NULL'),
(2, 'Running', 'Running298', 2273, 39.13, '03:05:35', '2021-02-21 13:00:00', 'Asics Shoes'),
(7, 'Running', 'Running299', 1172, 20.58, '01:35:41', '2021-04-09 11:00:00', 'AppleWatch'),
(12, 'Cycling', 'Cycling300', 4205, 143.44, '04:46:04', '2021-02-26 14:00:00', 'Nike Shoes'),
(4, 'Running', 'Running301', 957, 16.41, '01:18:11', '2021-01-28 14:00:00', 'NULL'),
(7, 'Running', 'Running302', 1758, 20.85, '02:23:31', '2021-03-04 10:00:00', 'Asics Shoes'),
(13, 'Cycling', 'Cycling303', 2470, 89.28, '02:48:03', '2021-02-22 12:00:00', 'NULL'),
(15, 'Hiking', 'Hiking304', 3447, 29.81, '07:49:03', '2021-05-28 12:00:00', 'NULL'),
(6, 'Cycling', 'Cycling305', 11521, 196.29, '13:03:47', '2021-01-04 14:00:00', 'Polar Watch'),
(4, 'Hiking', 'Hiking306', 5544, 48.94, '12:34:21', '2021-04-26 10:00:00', 'Polar Watch'),
(8, 'Running', 'Running307', 5725, 54.44, '07:47:24', '2021-01-25 12:00:00', 'Asics Shoes'),
(1, 'Running', 'Running308', 2284, 43.63, '03:06:30', '2021-01-24 13:00:00', 'Nike Shoes'),
(1, 'Cycling', 'Cycling309', 1222, 38.35, '01:23:08', '2021-03-11 13:00:00', 'Polar Watch'),
(9, 'Running', 'Running310', 2968, 40.68, '04:02:17', '2021-05-16 10:00:00', 'AppleWatch'),
(7, 'Running', 'Running311', 2110, 36.19, '02:52:19', '2021-04-23 12:00:00', 'AppleWatch'),
(8, 'Cycling', 'Cycling312', 5337, 105.14, '06:03:07', '2021-05-17 10:00:00', 'Asics Shoes'),
(14, 'Hiking', 'Hiking313', 2064, 21.87, '04:40:50', '2021-05-03 15:00:00', 'NULL'),
(9, 'Cycling', 'Cycling314', 5297, 158.57, '06:00:21', '2021-01-01 10:00:00', 'AppleWatch'),
(14, 'Cycling', 'Cycling315', 2527, 88.52, '02:51:54', '2021-04-01 13:00:00', 'AppleWatch'),
(2, 'Running', 'Running316', 1464, 27.89, '01:59:33', '2021-04-13 11:00:00', 'NULL'),
(1, 'Hiking', 'Hiking317', 1136, 9.58, '02:34:34', '2021-01-07 13:00:00', 'Nike Shoes'),
(13, 'Running', 'Running318', 1580, 17.78, '02:08:59', '2021-01-26 14:00:00', 'AppleWatch'),
(6, 'Running', 'Running319', 1879, 22.75, '02:33:26', '2021-03-14 12:00:00', 'AppleWatch'),
(5, 'Running', 'Running320', 1471, 13.99, '02:00:07', '2021-01-10 15:00:00', 'AppleWatch'),
(11, 'Running', 'Running321', 2370, 29.84, '03:13:30', '2021-01-08 15:00:00', 'Polar Watch'),
(8, 'Hiking', 'Hiking322', 2555, 26.75, '05:47:45', '2021-02-22 15:00:00', 'Asics Shoes'),
(8, 'Running', 'Running323', 1784, 19.34, '02:25:42', '2021-02-21 10:00:00', 'Asics Shoes'),
(7, 'Running', 'Running324', 692, 12.88, '00:56:33', '2021-05-05 14:00:00', 'NULL'),
(11, 'Running', 'Running325', 322, 3.35, '00:26:20', '2021-03-17 14:00:00', 'NULL'),
(7, 'Cycling', 'Cycling326', 4132, 141.6, '04:41:06', '2021-01-13 11:00:00', 'AppleWatch'),
(5, 'Running', 'Running327', 2547, 29.45, '03:27:56', '2021-04-17 15:00:00', 'Asics Shoes'),
(2, 'Running', 'Running328', 2504, 37.3, '03:24:24', '2021-02-07 14:00:00', 'Polar Watch'),
(10, 'Hiking', 'Hiking329', 9594, 101.25, '21:45:20', '2021-04-21 12:00:00', 'Asics Shoes'),
(8, 'Running', 'Running330', 6220, 53.14, '08:27:45', '2021-03-17 10:00:00', 'Nike Shoes'),
(14, 'Running', 'Running331', 391, 6.13, '00:31:59', '2021-01-22 11:00:00', 'AppleWatch'),
(9, 'Hiking', 'Hiking332', 6374, 46.39, '14:27:13', '2021-05-15 12:00:00', 'NULL'),
(2, 'Cycling', 'Cycling333', 4958, 113.43, '05:37:19', '2021-05-13 14:00:00', 'Polar Watch'),
(8, 'Running', 'Running334', 4382, 54.93, '05:57:45', '2021-05-07 14:00:00', 'NULL'),
(7, 'Cycling', 'Cycling335', 3154, 126.3, '03:34:36', '2021-03-21 10:00:00', 'Polar Watch'),
(6, 'Cycling', 'Cycling336', 2876, 66.56, '03:15:42', '2021-01-08 11:00:00', 'Nike Shoes'),
(3, 'Cycling', 'Cycling337', 4374, 189.36, '04:57:33', '2021-05-11 13:00:00', 'AppleWatch'),
(6, 'Cycling', 'Cycling338', 6744, 113.63, '07:38:46', '2021-02-15 12:00:00', 'Nike Shoes'),
(13, 'Cycling', 'Cycling339', 4473, 88.17, '05:04:17', '2021-05-09 15:00:00', 'Asics Shoes'),
(10, 'Running', 'Running340', 992, 15.75, '01:20:59', '2021-04-21 11:00:00', 'NULL'),
(12, 'Cycling', 'Cycling341', 2757, 57.15, '03:07:36', '2021-05-17 12:00:00', 'Asics Shoes'),
(6, 'Cycling', 'Cycling342', 1576, 67.21, '01:47:15', '2021-03-08 13:00:00', 'NULL'),
(5, 'Running', 'Running343', 2771, 29.7, '03:46:16', '2021-02-06 10:00:00', 'NULL'),
(15, 'Running', 'Running344', 3200, 52.2, '04:21:13', '2021-02-13 10:00:00', 'NULL'),
(2, 'Cycling', 'Cycling345', 193, 8.75, '00:13:08', '2021-03-26 14:00:00', 'Asics Shoes'),
(3, 'Running', 'Running346', 1349, 15.15, '01:50:07', '2021-01-06 15:00:00', 'NULL'),
(13, 'Hiking', 'Hiking347', 4404, 40.97, '09:59:11', '2021-03-07 12:00:00', 'NULL'),
(9, 'Cycling', 'Cycling348', 4409, 102.29, '04:59:56', '2021-04-05 13:00:00', 'Asics Shoes'),
(15, 'Running', 'Running349', 4189, 35.15, '05:42:02', '2021-05-16 12:00:00', 'AppleWatch'),
(3, 'Cycling', 'Cycling350', 5159, 116.13, '05:50:58', '2021-05-11 10:00:00', 'NULL'),
(4, 'Cycling', 'Cycling351', 4627, 142.52, '05:14:46', '2021-04-13 15:00:00', 'Asics Shoes'),
(3, 'Running', 'Running352', 2988, 50.24, '04:03:59', '2021-03-13 14:00:00', 'NULL'),
(3, 'Hiking', 'Hiking353', 4782, 40.61, '10:50:37', '2021-01-24 10:00:00', 'NULL'),
(1, 'Hiking', 'Hiking354', 4908, 44.16, '11:07:48', '2021-02-02 14:00:00', 'Nike Shoes'),
(3, 'Hiking', 'Hiking355', 3657, 29.79, '08:17:37', '2021-04-05 14:00:00', 'Polar Watch'),
(7, 'Cycling', 'Cycling356', 5146, 195.61, '05:50:06', '2021-02-10 10:00:00', 'AppleWatch'),
(2, 'Running', 'Running357', 1126, 17.17, '01:31:59', '2021-02-06 15:00:00', 'AppleWatch'),
(8, 'Hiking', 'Hiking358', 7238, 76.55, '16:24:50', '2021-04-15 10:00:00', 'AppleWatch'),
(15, 'Running', 'Running359', 1902, 38.08, '02:35:16', '2021-05-08 15:00:00', 'Nike Shoes'),
(13, 'Running', 'Running360', 94, 1.11, '00:07:41', '2021-01-22 11:00:00', 'NULL'),
(3, 'Hiking', 'Hiking361', 5626, 43.99, '12:45:33', '2021-05-23 11:00:00', 'NULL'),
(5, 'Cycling', 'Cycling362', 7161, 100.57, '08:07:09', '2021-02-14 12:00:00', 'NULL'),
(10, 'Running', 'Running363', 2133, 27.98, '02:54:09', '2021-01-08 10:00:00', 'NULL'),
(11, 'Running', 'Running364', 3906, 43.73, '05:18:51', '2021-03-04 12:00:00', 'NULL'),
(6, 'Cycling', 'Cycling365', 7910, 146.89, '08:58:06', '2021-02-21 10:00:00', 'Polar Watch'),
(15, 'Running', 'Running366', 2400, 27.19, '03:15:55', '2021-05-02 14:00:00', 'Nike Shoes'),
(11, 'Running', 'Running367', 3348, 49.37, '04:33:21', '2021-04-21 10:00:00', 'Nike Shoes'),
(11, 'Cycling', 'Cycling368', 3395, 57.33, '03:50:59', '2021-04-17 11:00:00', 'NULL'),
(6, 'Hiking', 'Hiking369', 3148, 27.17, '07:08:26', '2021-05-07 12:00:00', 'Polar Watch'),
(13, 'Cycling', 'Cycling370', 3658, 104.28, '04:08:53', '2021-04-02 11:00:00', 'Polar Watch'),
(5, 'Running', 'Running371', 1785, 31.21, '02:25:47', '2021-03-12 14:00:00', 'AppleWatch'),
(2, 'Running', 'Running372', 1047, 17.49, '01:25:30', '2021-05-21 11:00:00', 'Nike Shoes'),
(9, 'Hiking', 'Hiking373', 8503, 94.65, '19:16:58', '2021-04-07 10:00:00', 'Polar Watch'),
(4, 'Running', 'Running374', 3562, 48.81, '04:50:51', '2021-01-09 11:00:00', 'Nike Shoes'),
(13, 'Running', 'Running375', 2183, 36.01, '02:58:15', '2021-03-06 15:00:00', 'NULL'),
(10, 'Hiking', 'Hiking376', 3279, 33.02, '07:26:08', '2021-02-14 15:00:00', 'Nike Shoes'),
(15, 'Cycling', 'Cycling377', 333, 13.36, '00:22:42', '2021-01-18 12:00:00', 'Polar Watch'),
(4, 'Running', 'Running378', 477, 8.96, '00:39:00', '2021-02-28 14:00:00', 'Asics Shoes'),
(10, 'Cycling', 'Cycling379', 1863, 68.35, '02:06:45', '2021-01-26 14:00:00', 'NULL'),
(2, 'Running', 'Running380', 3490, 56.94, '04:44:57', '2021-03-06 11:00:00', 'AppleWatch'),
(5, 'Running', 'Running381', 2503, 39.69, '03:24:23', '2021-04-07 15:00:00', 'AppleWatch'),
(12, 'Running', 'Running382', 2351, 31.87, '03:11:59', '2021-01-14 13:00:00', 'Nike Shoes'),
(3, 'Running', 'Running383', 2036, 31.73, '02:46:14', '2021-04-14 10:00:00', 'Asics Shoes'),
(13, 'Running', 'Running384', 5009, 44.45, '06:48:54', '2021-05-01 15:00:00', 'AppleWatch'),
(10, 'Hiking', 'Hiking385', 7388, 74.21, '16:45:13', '2021-01-28 14:00:00', 'Polar Watch'),
(13, 'Cycling', 'Cycling386', 225, 6.46, '00:15:20', '2021-05-19 14:00:00', 'Nike Shoes'),
(11, 'Running', 'Running387', 1145, 13.29, '01:33:31', '2021-05-26 11:00:00', 'Nike Shoes'),
(1, 'Hiking', 'Hiking388', 4074, 29.96, '09:14:18', '2021-02-23 11:00:00', 'Asics Shoes'),
(12, 'Running', 'Running389', 247, 2.66, '00:20:10', '2021-05-03 12:00:00', 'Asics Shoes'),
(5, 'Hiking', 'Hiking390', 4943, 54.18, '11:12:33', '2021-02-07 14:00:00', 'AppleWatch'),
(11, 'Running', 'Running391', 167, 3.06, '00:13:40', '2021-05-28 12:00:00', 'NULL'),
(4, 'Cycling', 'Cycling392', 2106, 92.48, '02:23:17', '2021-02-06 10:00:00', 'NULL'),
(7, 'Cycling', 'Cycling393', 2369, 97.53, '02:41:09', '2021-03-05 14:00:00', 'NULL'),
(11, 'Running', 'Running394', 3493, 40.65, '04:45:12', '2021-03-17 15:00:00', 'Asics Shoes'),
(14, 'Running', 'Running395', 1145, 17.93, '01:33:31', '2021-02-18 10:00:00', 'NULL'),
(3, 'Cycling', 'Cycling396', 4899, 89.75, '05:33:17', '2021-03-02 11:00:00', 'Asics Shoes'),
(5, 'Hiking', 'Hiking397', 10079, 99.45, '22:51:24', '2021-01-13 12:00:00', 'AppleWatch'),
(13, 'Running', 'Running398', 2130, 25.64, '02:53:55', '2021-02-20 15:00:00', 'AppleWatch'),
(13, 'Running', 'Running399', 3181, 47.29, '04:19:44', '2021-01-21 13:00:00', 'Polar Watch'),
(8, 'Hiking', 'Hiking400', 5234, 47.38, '11:52:12', '2021-05-12 12:00:00', 'Asics Shoes'),
(15, 'Running', 'Running401', 4377, 45.56, '05:57:22', '2021-03-28 13:00:00', 'Polar Watch'),
(4, 'Cycling', 'Cycling402', 10476, 179.38, '11:52:40', '2021-02-16 14:00:00', 'NULL'),
(1, 'Cycling', 'Cycling403', 1795, 78.35, '02:02:08', '2021-05-06 13:00:00', 'Asics Shoes'),
(13, 'Running', 'Running404', 672, 11.89, '00:54:55', '2021-03-25 12:00:00', 'NULL'),
(1, 'Running', 'Running405', 2514, 44.16, '03:25:16', '2021-04-18 10:00:00', 'Polar Watch'),
(12, 'Running', 'Running406', 2108, 26.3, '02:52:06', '2021-05-05 10:00:00', 'Nike Shoes'),
(8, 'Running', 'Running407', 1947, 36.92, '02:39:00', '2021-04-26 15:00:00', 'NULL'),
(9, 'Cycling', 'Cycling408', 1117, 21.77, '01:16:01', '2021-02-13 15:00:00', 'AppleWatch'),
(1, 'Running', 'Running409', 583, 11.31, '00:47:37', '2021-01-21 11:00:00', 'AppleWatch'),
(10, 'Running', 'Running410', 3014, 42.12, '04:06:05', '2021-01-23 14:00:00', 'AppleWatch'),
(1, 'Hiking', 'Hiking411', 2516, 27.32, '05:42:20', '2021-02-02 10:00:00', 'AppleWatch'),
(14, 'Hiking', 'Hiking412', 1095, 12.38, '02:28:59', '2021-04-26 11:00:00', 'Nike Shoes'),
(13, 'Running', 'Running413', 1555, 15.35, '02:06:58', '2021-04-01 10:00:00', 'AppleWatch'),
(13, 'Running', 'Running414', 588, 5.77, '00:48:03', '2021-01-24 12:00:00', 'Nike Shoes'),
(4, 'Hiking', 'Hiking415', 1831, 17.93, '04:09:13', '2021-02-22 12:00:00', 'Nike Shoes'),
(9, 'Hiking', 'Hiking416', 3788, 41.25, '08:35:27', '2021-02-24 10:00:00', 'Polar Watch'),
(15, 'Hiking', 'Hiking417', 2101, 23.08, '04:45:52', '2021-05-27 13:00:00', 'AppleWatch'),
(5, 'Running', 'Running418', 1726, 16.47, '02:20:58', '2021-04-13 14:00:00', 'AppleWatch'),
(15, 'Cycling', 'Cycling419', 4972, 86.42, '05:38:15', '2021-01-20 11:00:00', 'NULL'),
(5, 'Running', 'Running420', 5008, 44.18, '06:48:53', '2021-02-07 13:00:00', 'NULL'),
(3, 'Cycling', 'Cycling421', 3739, 141.8, '04:14:23', '2021-02-27 12:00:00', 'NULL'),
(9, 'Cycling', 'Cycling422', 5127, 173.91, '05:48:48', '2021-02-01 10:00:00', 'Polar Watch'),
(15, 'Hiking', 'Hiking423', 1002, 10.44, '02:16:24', '2021-01-10 10:00:00', 'Nike Shoes'),
(14, 'Cycling', 'Cycling424', 6347, 178.06, '07:11:48', '2021-03-24 15:00:00', 'AppleWatch'),
(14, 'Cycling', 'Cycling425', 702, 22.26, '00:47:46', '2021-05-07 12:00:00', 'NULL'),
(14, 'Running', 'Running426', 4807, 41.47, '06:32:26', '2021-01-21 14:00:00', 'NULL'),
(1, 'Cycling', 'Cycling427', 5470, 166.18, '06:12:09', '2021-02-22 14:00:00', 'NULL'),
(4, 'Cycling', 'Cycling428', 4477, 104.32, '05:04:36', '2021-01-07 10:00:00', 'Nike Shoes'),
(2, 'Hiking', 'Hiking429', 9923, 82.71, '22:30:05', '2021-03-05 15:00:00', 'Nike Shoes'),
(10, 'Cycling', 'Cycling430', 2453, 108.75, '02:46:56', '2021-04-14 10:00:00', 'Polar Watch'),
(4, 'Cycling', 'Cycling431', 9787, 146.39, '11:05:48', '2021-04-24 11:00:00', 'Asics Shoes'),
(7, 'Running', 'Running432', 2110, 26.03, '02:52:19', '2021-01-05 13:00:00', 'Polar Watch'),
(13, 'Running', 'Running433', 2763, 41.41, '03:45:36', '2021-02-01 15:00:00', 'Nike Shoes'),
(9, 'Running', 'Running434', 636, 11.75, '00:51:56', '2021-02-08 15:00:00', 'AppleWatch'),
(6, 'Cycling', 'Cycling435', 3558, 152.17, '04:02:02', '2021-01-18 10:00:00', 'Nike Shoes'),
(15, 'Cycling', 'Cycling436', 2239, 81.12, '02:32:20', '2021-01-13 15:00:00', 'Asics Shoes'),
(11, 'Cycling', 'Cycling437', 392, 8.33, '00:26:42', '2021-01-09 15:00:00', 'Asics Shoes'),
(15, 'Hiking', 'Hiking438', 8593, 89.76, '19:29:12', '2021-04-04 12:00:00', 'AppleWatch'),
(4, 'Running', 'Running439', 3473, 48.66, '04:43:30', '2021-01-19 11:00:00', 'NULL'),
(9, 'Cycling', 'Cycling440', 11144, 169.13, '12:38:06', '2021-03-24 14:00:00', 'Asics Shoes'),
(3, 'Running', 'Running441', 3274, 33.56, '04:27:19', '2021-02-01 14:00:00', 'Asics Shoes'),
(9, 'Cycling', 'Cycling442', 6316, 137.43, '07:09:43', '2021-03-12 14:00:00', 'NULL'),
(9, 'Running', 'Running443', 284, 4.3, '00:23:11', '2021-03-07 15:00:00', 'Nike Shoes'),
(6, 'Cycling', 'Cycling444', 954, 39.32, '01:04:55', '2021-03-20 11:00:00', 'AppleWatch'),
(1, 'Cycling', 'Cycling445', 1503, 46.87, '01:42:17', '2021-05-19 11:00:00', 'Asics Shoes'),
(9, 'Hiking', 'Hiking446', 7708, 72.51, '17:28:45', '2021-02-23 14:00:00', 'NULL'),
(11, 'Running', 'Running447', 3346, 29.34, '04:33:12', '2021-04-03 10:00:00', 'Polar Watch'),
(5, 'Hiking', 'Hiking448', 6851, 66.23, '15:32:07', '2021-03-11 10:00:00', 'Nike Shoes'),
(7, 'Cycling', 'Cycling449', 4793, 116.22, '05:26:03', '2021-01-03 10:00:00', 'NULL'),
(11, 'Cycling', 'Cycling450', 2595, 107.33, '02:56:34', '2021-04-26 12:00:00', 'Asics Shoes'),
(15, 'Cycling', 'Cycling451', 2752, 122.85, '03:07:15', '2021-02-05 11:00:00', 'Nike Shoes'),
(12, 'Hiking', 'Hiking452', 6339, 63.8, '14:22:33', '2021-05-24 13:00:00', 'Asics Shoes'),
(4, 'Hiking', 'Hiking453', 10235, 72.78, '23:12:35', '2021-03-28 13:00:00', 'Nike Shoes'),
(9, 'Running', 'Running454', 969, 11.94, '01:19:10', '2021-03-13 15:00:00', 'Polar Watch'),
(10, 'Cycling', 'Cycling455', 3812, 123.79, '04:19:21', '2021-03-11 12:00:00', 'Polar Watch'),
(3, 'Hiking', 'Hiking456', 9748, 93.2, '22:06:21', '2021-01-09 13:00:00', 'AppleWatch'),
(1, 'Cycling', 'Cycling457', 363, 12.56, '00:24:45', '2021-02-25 11:00:00', 'Nike Shoes'),
(6, 'Running', 'Running458', 2788, 55.32, '03:47:39', '2021-01-12 10:00:00', 'Asics Shoes'),
(11, 'Running', 'Running459', 1666, 28.69, '02:16:02', '2021-04-24 10:00:00', 'Asics Shoes'),
(8, 'Cycling', 'Cycling460', 695, 26.39, '00:47:20', '2021-02-14 11:00:00', 'Nike Shoes'),
(8, 'Running', 'Running461', 3398, 51.04, '04:37:27', '2021-03-21 10:00:00', 'Polar Watch'),
(4, 'Hiking', 'Hiking462', 10033, 111.64, '22:45:10', '2021-03-17 14:00:00', 'Polar Watch'),
(14, 'Running', 'Running463', 1140, 18.32, '01:33:08', '2021-03-07 11:00:00', 'AppleWatch'),
(10, 'Cycling', 'Cycling464', 378, 16.89, '00:25:43', '2021-03-28 15:00:00', 'AppleWatch'),
(10, 'Running', 'Running465', 3705, 42.68, '05:02:31', '2021-04-24 13:00:00', 'Asics Shoes'),
(12, 'Hiking', 'Hiking466', 8222, 81.39, '18:38:40', '2021-01-06 15:00:00', 'NULL'),
(12, 'Running', 'Running467', 3080, 56.08, '04:11:29', '2021-04-07 13:00:00', 'Asics Shoes'),
(15, 'Cycling', 'Cycling468', 13908, 196.49, '15:46:09', '2021-01-28 12:00:00', 'AppleWatch'),
(9, 'Hiking', 'Hiking469', 9054, 63.65, '20:31:50', '2021-01-09 11:00:00', 'NULL'),
(7, 'Hiking', 'Hiking470', 2581, 24.82, '05:51:16', '2021-01-12 15:00:00', 'AppleWatch'),
(5, 'Running', 'Running471', 1038, 14.18, '01:24:47', '2021-01-05 11:00:00', 'AppleWatch'),
(9, 'Running', 'Running472', 2828, 36.15, '03:50:52', '2021-03-03 12:00:00', 'Nike Shoes'),
(7, 'Cycling', 'Cycling473', 3672, 117.83, '04:09:51', '2021-02-15 15:00:00', 'Nike Shoes'),
(8, 'Hiking', 'Hiking474', 207, 2.11, '00:28:14', '2021-02-16 11:00:00', 'NULL'),
(11, 'Hiking', 'Hiking475', 1699, 18.49, '03:51:11', '2021-05-16 13:00:00', 'Polar Watch'),
(12, 'Cycling', 'Cycling476', 2958, 80.32, '03:21:14', '2021-04-15 10:00:00', 'Nike Shoes'),
(15, 'Hiking', 'Hiking477', 2832, 31.85, '06:25:21', '2021-01-01 15:00:00', 'AppleWatch'),
(1, 'Cycling', 'Cycling478', 8689, 161.98, '09:51:07', '2021-01-18 11:00:00', 'Polar Watch'),
(3, 'Running', 'Running479', 2378, 20.04, '03:14:11', '2021-01-27 10:00:00', 'AppleWatch'),
(7, 'Cycling', 'Cycling480', 4181, 128.22, '04:44:29', '2021-03-28 11:00:00', 'Polar Watch'),
(6, 'Hiking', 'Hiking481', 423, 3.06, '00:57:35', '2021-02-25 11:00:00', 'AppleWatch'),
(2, 'Running', 'Running482', 2631, 37.95, '03:34:50', '2021-01-24 13:00:00', 'NULL'),
(8, 'Hiking', 'Hiking483', 2603, 27.08, '05:54:10', '2021-05-22 10:00:00', 'AppleWatch'),
(4, 'Hiking', 'Hiking484', 2450, 19.26, '05:33:24', '2021-02-27 14:00:00', 'Nike Shoes'),
(6, 'Hiking', 'Hiking485', 2332, 26.23, '05:17:18', '2021-02-23 10:00:00', 'Polar Watch'),
(7, 'Cycling', 'Cycling486', 483, 18.99, '00:32:51', '2021-03-24 14:00:00', 'Asics Shoes'),
(10, 'Running', 'Running487', 1414, 19.24, '01:55:27', '2021-02-25 12:00:00', 'NULL'),
(8, 'Cycling', 'Cycling488', 587, 26.07, '00:39:59', '2021-02-25 12:00:00', 'AppleWatch'),
(13, 'Cycling', 'Cycling489', 258, 5.14, '00:17:36', '2021-05-05 10:00:00', 'Asics Shoes'),
